,Make,Model,Vehicle_Type,Engine_Capacity,Cylinders,Transmission,Fuel Type,Fuel Consumption City (L/100 km),Fuel Consumption Hwy (L/100 km),Fuel Consumption Comb (L/100 km),Fuel Consumption Comb (mpg),CO2 Emissions(g/km),vehicle_age,Distance_Driven_Last_Month,Fuel_Consumed_Last_Month
1461,FORD,EXPLORER FFV,Four-Wheeler,3.5,6,AS6,Electric,18.6,13.0,16.1,18,258,5,750.0,120.75000000000001
1462,FORD,EXPLORER AWD (EcoBoost),Four-Wheeler,3.5,6,AS6,Petrol,14.9,10.7,13.0,22,299,5,850.0,110.5
1463,FORD,EXPLORER FFV AWD,Four-Wheeler,3.5,6,AS6,Petrol,14.2,10.3,12.5,23,288,5,850.0,106.25
1464,FORD,EXPLORER FFV AWD,Four-Wheeler,3.5,6,AS6,Electric,19.2,14.1,16.9,17,270,5,750.0,126.74999999999999
1465,FORD,F-150,Commercial,2.7,6,AS6,Petrol,12.2,9.2,10.8,26,248,4,770.0,83.16
1466,FORD,F-150,Commercial,3.5,6,AS6,Petrol,13.7,9.9,12.0,24,276,5,850.0,102.0
1467,FORD,F-150 FFV,Commercial,3.5,6,A6,Petrol,13.2,9.6,11.5,25,264,4,850.0,97.75
1468,FORD,F-150 FFV,Commercial,3.5,6,A6,Electric,17.9,13.0,15.7,18,251,5,750.0,117.75
1469,FORD,F-150 FFV,Commercial,5.0,8,AS6,Petrol,15.5,10.6,13.3,21,306,5,1000.0,133.0
1470,FORD,F-150 FFV,Commercial,5.0,8,AS6,Electric,20.7,14.3,17.9,16,286,6,800.0,143.2
1471,FORD,F-150 4X4,Commercial,2.7,6,AS6,Petrol,13.3,10.4,12.0,24,276,5,770.0,92.4
1472,FORD,F-150 4X4,Commercial,3.5,6,AS6,Petrol,14.2,10.4,12.5,23,288,5,850.0,106.25
1473,FORD,F-150 FFV 4X4,Commercial,3.5,6,A6,Petrol,13.9,10.5,12.4,23,285,5,850.0,105.4
1474,FORD,F-150 FFV 4X4,Commercial,3.5,6,A6,Electric,18.9,14.2,16.8,17,269,5,750.0,126.0
1475,FORD,F-150 FFV 4X4,Commercial,5.0,8,AS6,Petrol,16.0,11.3,13.9,20,320,5,1000.0,139.0
1476,FORD,F-150 FFV 4X4,Commercial,5.0,8,AS6,Electric,21.7,15.1,18.7,15,299,6,800.0,149.6
1477,FORD,FIESTA,Four-Wheeler,1.6,4,AS6,Petrol,8.7,6.4,7.6,37,175,4,660.0,50.16
1478,FORD,FIESTA,Four-Wheeler,1.6,4,M5,Petrol,8.5,6.5,7.6,37,175,4,660.0,50.16
1479,FORD,FIESTA SFE,Four-Wheeler,1.0,3,M5,Petrol,7.5,5.5,6.6,43,152,3,600.0,39.6
1480,FORD,FIESTA SFE,Four-Wheeler,1.6,4,AS6,Petrol,8.4,6.2,7.4,38,170,4,660.0,48.84
1481,FORD,FIESTA ST,Four-Wheeler,1.6,4,M6,Petrol,8.9,6.8,8.0,35,184,4,660.0,52.8
1482,FORD,FLEX,Four-Wheeler,3.5,6,AS6,Petrol,13.3,9.5,11.6,24,267,4,850.0,98.6
1483,FORD,FLEX AWD,Four-Wheeler,3.5,6,AS6,Petrol,13.7,10.1,12.1,23,278,5,850.0,102.85
1484,FORD,FLEX AWD (EcoBoost),Four-Wheeler,3.5,6,AS6,Petrol,14.6,10.4,12.8,22,294,5,850.0,108.8
1485,FORD,FOCUS,Four-Wheeler,1.0,3,M6,Petrol,8.1,5.9,7.1,40,163,4,600.0,42.6
1486,FORD,FOCUS,Four-Wheeler,2.0,4,M6,Petrol,10.2,7.3,8.9,32,205,4,700.0,62.3
1487,FORD,FOCUS FFV,Four-Wheeler,2.0,4,AM6,Petrol,8.9,6.2,7.7,37,177,4,700.0,53.9
1488,FORD,FOCUS FFV,Four-Wheeler,2.0,4,AM6,Electric,11.9,8.5,10.4,27,166,4,600.0,62.4
1489,FORD,FOCUS FFV,Four-Wheeler,2.0,4,AS6,Petrol,9.1,6.3,7.8,36,179,4,700.0,54.6
1490,FORD,FOCUS FFV,Four-Wheeler,2.0,4,AS6,Electric,12.2,8.6,10.6,27,170,4,600.0,63.6
1491,FORD,FOCUS FFV,Four-Wheeler,2.0,4,M5,Petrol,9.3,6.7,8.1,35,186,4,700.0,56.7
1492,FORD,FOCUS FFV,Four-Wheeler,2.0,4,M5,Electric,12.4,9.1,10.9,26,174,4,600.0,65.4
1493,FORD,FUSION,Four-Wheeler,1.5,4,AS6,Petrol,9.9,6.5,8.4,34,193,4,650.0,54.6
1494,FORD,FUSION (Start/Stop),Four-Wheeler,1.5,4,AS6,Petrol,9.4,6.3,8.0,35,184,4,650.0,52.0
1495,FORD,FUSION,Four-Wheeler,2.0,4,AS6,Petrol,10.5,7.0,8.9,32,205,4,700.0,62.3
1496,FORD,FUSION,Four-Wheeler,2.5,4,AS6,Petrol,10.6,7.0,8.9,32,205,4,750.0,66.75
1497,FORD,FUSION AWD,Four-Wheeler,2.0,4,AS6,Petrol,10.8,7.5,9.3,30,214,4,700.0,65.10000000000001
1498,FORD,FUSION HYBRID,Four-Wheeler,2.0,4,AV,Petrol,5.4,5.8,5.5,51,126,4,700.0,38.5
1499,FORD,MUSTANG,Four-Wheeler,2.3,4,AS6,Petrol,11.0,7.4,9.4,30,216,4,730.0,68.62
1500,FORD,MUSTANG,Four-Wheeler,2.3,4,M6,Petrol,10.6,7.5,9.2,31,212,4,730.0,67.16
1501,FORD,MUSTANG,Four-Wheeler,3.7,6,AS6,Petrol,12.6,8.5,10.7,26,246,4,870.0,93.09
1502,FORD,MUSTANG,Four-Wheeler,3.7,6,M6,Petrol,13.5,8.3,11.2,25,258,4,870.0,97.44
1503,FORD,MUSTANG,Four-Wheeler,5.0,8,AS6,Petrol,14.9,9.5,12.4,23,285,5,1000.0,124.0
1504,FORD,MUSTANG,Four-Wheeler,5.0,8,M6,Petrol,15.2,9.3,12.5,23,288,5,1000.0,125.0
1505,FORD,MUSTANG CONVERTIBLE,Four-Wheeler,2.3,4,AS6,Petrol,11.6,7.9,9.9,29,228,4,730.0,72.27
1506,FORD,MUSTANG CONVERTIBLE,Four-Wheeler,5.0,8,AS6,Petrol,15.4,10.0,13.0,22,299,5,1000.0,130.0
1507,FORD,T-150 WAGON,Commercial,3.5,6,AS6,Petrol,16.6,12.5,14.7,19,338,5,850.0,124.95
1508,FORD,T-150 WAGON FFV,Commercial,3.7,6,AS6,Petrol,16.6,12.6,14.8,19,340,5,870.0,128.76
1509,FORD,T-150 WAGON FFV,Commercial,3.7,6,AS6,Electric,22.1,16.7,19.7,14,315,6,670.0,131.99
1510,FORD,TAURUS,Four-Wheeler,2.0,4,AS6,Petrol,10.5,7.4,9.1,31,209,4,700.0,63.7
1511,FORD,TAURUS AWD,Four-Wheeler,3.5,6,AS6,Petrol,13.9,9.5,11.9,24,274,4,850.0,101.15
1512,FORD,TAURUS FFV,Four-Wheeler,3.5,6,AS6,Petrol,12.2,8.2,10.4,27,239,4,850.0,88.4
1513,FORD,TAURUS FFV,Four-Wheeler,3.5,6,AS6,Electric,17.4,11.3,14.7,19,235,5,750.0,110.25
1514,FORD,TAURUS FFV AWD,Four-Wheeler,3.5,6,AS6,Petrol,13.0,9.1,11.3,25,260,4,850.0,96.05
1515,FORD,TAURUS FFV AWD,Four-Wheeler,3.5,6,AS6,Electric,18.8,12.6,16.0,18,256,5,750.0,120.0
1516,FORD,TRANSIT CONNECT VAN,Commercial,1.6,4,AS6,Petrol,10.6,7.9,9.4,30,216,4,660.0,62.04
1517,FORD,TRANSIT CONNECT VAN,Commercial,2.5,4,AS6,Petrol,11.3,8.2,9.9,29,228,4,750.0,74.25
1518,FORD,TRANSIT CONNECT WAGON,Commercial,2.5,4,AS6,Petrol,11.7,8.4,10.2,28,235,4,750.0,76.49999999999999
1519,FORD,TRANSIT CONNECT WAGON TAXI,Commercial,2.5,4,AS6,Petrol,12.0,8.5,10.4,27,239,4,750.0,78.0
1520,GMC,ACADIA,Four-Wheeler,3.6,6,A6,Petrol,14.2,9.9,12.3,23,283,5,860.0,105.78
1521,GMC,ACADIA AWD,Four-Wheeler,3.6,6,A6,Petrol,14.6,10.2,12.6,22,290,5,860.0,108.36
1522,GMC,CANYON,Commercial,2.5,4,A6,Petrol,11.9,8.8,10.5,27,242,4,750.0,78.75
1523,GMC,CANYON,Commercial,2.5,4,M6,Petrol,12.2,9.1,10.8,26,248,4,750.0,81.00000000000001
1524,GMC,CANYON,Commercial,3.6,6,A6,Petrol,13.0,9.2,11.3,25,260,4,860.0,97.18
1525,GMC,CANYON 4WD,Commercial,2.5,4,A6,Petrol,12.7,9.5,11.3,25,260,4,750.0,84.75
1526,GMC,CANYON 4WD,Commercial,3.6,6,A6,Petrol,13.5,9.8,11.8,24,271,5,860.0,101.48
1527,GMC,SAVANA 2500 PASSENGER,Commercial,4.8,8,A6,Petrol,21.0,14.2,18.0,16,414,6,880.0,158.4
1528,GMC,SAVANA 2500 PASSENGER,Commercial,6.0,8,A6,Petrol,22.0,14.9,18.8,15,432,6,1000.0,188.0
1529,GMC,SAVANA 2500 PASSENGER FFV,Commercial,6.0,8,A6,Petrol,22.0,14.9,18.8,15,432,6,1000.0,188.0
1530,GMC,SAVANA 2500 PASSENGER FFV,Commercial,6.0,8,A6,Electric,30.3,20.5,25.9,11,414,8,900.0,233.1
1531,GMC,SAVANA 3500 PASSENGER,Commercial,4.8,8,A6,Petrol,21.3,14.3,18.1,16,416,6,880.0,159.28000000000003
1532,GMC,SAVANA 3500 PASSENGER,Commercial,6.0,8,A6,Petrol,22.2,15.1,19.0,15,437,6,1000.0,190.0
1533,GMC,SAVANA 3500 PASSENGER FFV,Commercial,6.0,8,A6,Petrol,22.2,15.1,19.0,15,437,6,1000.0,190.0
1534,GMC,SAVANA 3500 PASSENGER FFV,Commercial,6.0,8,A6,Electric,30.6,20.6,26.1,11,418,8,900.0,234.9
1535,GMC,SIERRA,Commercial,4.3,6,A6,Petrol,13.4,9.9,11.9,24,274,5,930.0,110.67
1536,GMC,SIERRA,Commercial,4.3,6,A6,Electric,19.3,14.3,17.1,17,274,5,830.0,141.93
1537,GMC,SIERRA,Commercial,5.3,8,A6,Petrol,14.6,10.3,12.7,22,292,5,1030.0,130.81
1538,GMC,SIERRA,Commercial,5.3,8,A6,Electric,19.9,13.8,17.2,16,275,5,930.0,159.96
1539,GMC,SIERRA,Commercial,6.2,8,A8,Diesel,16.1,11.4,14.0,20,322,5,1320.0,184.8
1540,GMC,SIERRA 4WD,Commercial,4.3,6,A6,Petrol,14.1,10.6,12.5,23,288,5,930.0,116.25
1541,GMC,SIERRA 4WD,Commercial,4.3,6,A6,Electric,20.3,15.2,18.0,16,288,6,730.0,131.4
1542,GMC,SIERRA 4WD,Commercial,5.3,8,A6,Petrol,14.9,10.7,13.0,22,299,5,1030.0,133.9
1543,GMC,SIERRA 4WD,Commercial,5.3,8,A6,Electric,20.2,14.3,17.5,16,280,5,930.0,162.75
1544,GMC,SIERRA 4WD,Commercial,6.2,8,A8,Diesel,16.3,11.6,14.2,20,327,5,1320.0,187.44
1545,GMC,TERRAIN,Four-Wheeler,2.4,4,A6,Petrol,10.5,7.3,9.1,31,209,4,740.0,67.34
1546,GMC,TERRAIN FFV,Four-Wheeler,2.4,4,A6,Petrol,10.5,7.3,9.1,31,209,4,740.0,67.34
1547,GMC,TERRAIN FFV,Four-Wheeler,2.4,4,A6,Electric,15.6,10.8,13.4,21,214,4,640.0,85.76
1548,GMC,TERRAIN,Four-Wheeler,3.6,6,A6,Petrol,14.2,9.5,12.1,23,278,4,860.0,104.06
1549,GMC,TERRAIN AWD,Four-Wheeler,2.4,4,A6,Petrol,11.5,8.2,10.0,28,230,4,740.0,74.0
1550,GMC,TERRAIN AWD,Four-Wheeler,3.6,6,A6,Petrol,14.8,9.9,12.6,22,290,5,860.0,108.36
1551,GMC,YUKON,Four-Wheeler,5.3,8,A6,Petrol,14.9,10.1,12.7,22,292,5,1030.0,130.81
1552,GMC,YUKON,Four-Wheeler,5.3,8,A6,Electric,20.2,13.6,17.2,16,275,5,930.0,159.96
1553,GMC,YUKON 4WD,Four-Wheeler,5.3,8,A6,Petrol,15.1,10.4,13.0,22,299,5,1030.0,133.9
1554,GMC,YUKON 4WD,Four-Wheeler,5.3,8,A6,Electric,20.5,14.0,17.6,16,282,5,930.0,163.68
1555,GMC,YUKON DENALI 4WD,Four-Wheeler,6.2,8,A6,Diesel,16.2,11.4,14.0,20,322,5,1320.0,184.8
1556,GMC,YUKON DENALI 4WD,Four-Wheeler,6.2,8,A8,Diesel,15.9,11.1,13.8,20,317,5,1320.0,182.16
1557,GMC,YUKON XL,Four-Wheeler,5.3,8,A6,Petrol,14.9,10.1,12.7,22,292,5,1030.0,130.81
1558,GMC,YUKON XL,Four-Wheeler,5.3,8,A6,Electric,20.2,13.6,17.2,16,275,5,930.0,159.96
1559,GMC,YUKON XL 4WD,Four-Wheeler,5.3,8,A6,Petrol,15.4,10.8,13.3,21,306,5,1030.0,136.99
1560,GMC,YUKON XL 4WD,Four-Wheeler,5.3,8,A6,Electric,22.1,15.4,19.1,15,306,6,830.0,158.53000000000003
1561,GMC,YUKON XL DENALI 4WD,Four-Wheeler,6.2,8,A6,Diesel,16.8,11.7,14.5,19,334,5,1320.0,191.4
1562,GMC,YUKON XL DENALI 4WD,Four-Wheeler,6.2,8,A8,Diesel,16.4,11.7,14.3,20,329,5,1320.0,188.76
1563,HONDA,ACCORD,Four-Wheeler,2.4,4,AV,Petrol,8.8,6.5,7.8,36,179,4,740.0,57.72
1564,HONDA,ACCORD,Four-Wheeler,2.4,4,AV7,Petrol,9.0,6.7,8.0,35,184,4,740.0,59.2
1565,HONDA,ACCORD,Four-Wheeler,2.4,4,M6,Petrol,10.1,6.9,8.7,32,200,4,740.0,64.38
1566,HONDA,ACCORD,Four-Wheeler,3.5,6,A6,Petrol,11.0,6.8,9.1,31,209,4,850.0,77.35
1567,HONDA,ACCORD,Four-Wheeler,3.5,6,AS6,Petrol,11.4,7.3,9.5,30,219,4,850.0,80.75
1568,HONDA,ACCORD,Four-Wheeler,3.5,6,M6,Petrol,13.0,8.4,10.9,26,251,4,850.0,92.65
1569,HONDA,ACCORD HYBRID,Four-Wheeler,2.0,4,AV,Petrol,4.7,5.3,5.0,56,115,4,700.0,35.0
1570,HONDA,CIVIC,Four-Wheeler,1.8,4,AV,Petrol,7.9,6.1,7.1,40,163,4,680.0,48.28
1571,HONDA,CIVIC,Four-Wheeler,1.8,4,AV7,Petrol,8.1,6.2,7.2,39,166,4,680.0,48.96
1572,HONDA,CIVIC,Four-Wheeler,1.8,4,M5,Petrol,8.6,6.6,7.7,37,177,4,680.0,52.36
1573,HONDA,CIVIC Si,Four-Wheeler,2.4,4,M6,Diesel,10.8,7.6,9.4,30,216,4,940.0,88.36
1574,HONDA,CIVIC HYBRID,Four-Wheeler,1.5,4,AV,Petrol,5.3,5.0,5.2,54,120,4,650.0,33.8
1575,HONDA,CR-V,Four-Wheeler,2.4,4,AV,Petrol,8.6,6.9,7.8,36,179,4,740.0,57.72
1576,HONDA,CR-V AWD,Four-Wheeler,2.4,4,AV,Petrol,9.1,7.2,8.3,34,191,4,740.0,61.42000000000001
1577,HONDA,CR-Z,Four-Wheeler,1.5,4,AV7,Petrol,6.6,6.0,6.3,45,145,4,650.0,40.95
1578,HONDA,CR-Z,Four-Wheeler,1.5,4,M6,Petrol,7.6,6.1,6.9,41,159,4,650.0,44.85
1579,HONDA,FIT,Four-Wheeler,1.5,4,AV,Petrol,7.0,5.7,6.4,44,147,4,650.0,41.6
1580,HONDA,FIT,Four-Wheeler,1.5,4,AV7,Petrol,7.3,6.1,6.8,42,156,4,650.0,44.2
1581,HONDA,FIT,Four-Wheeler,1.5,4,M6,Petrol,8.1,6.4,7.3,39,168,4,650.0,47.45
1582,HONDA,ODYSSEY,Three-Wheeler,3.5,6,A6,Petrol,12.3,8.5,10.6,27,244,4,850.0,90.1
1583,HONDA,PILOT,Four-Wheeler,3.5,6,A5,Petrol,13.3,9.3,11.5,25,264,4,850.0,97.75
1584,HONDA,PILOT 4WD,Four-Wheeler,3.5,6,A5,Petrol,13.8,9.7,12.0,24,276,5,850.0,102.0
1585,HYUNDAI,ACCENT,Four-Wheeler,1.6,4,AS6,Petrol,8.9,6.3,7.7,37,177,4,660.0,50.82
1586,HYUNDAI,ACCENT,Four-Wheeler,1.6,4,M6,Petrol,8.7,6.3,7.6,37,175,4,660.0,50.16
1587,HYUNDAI,ELANTRA,Four-Wheeler,1.8,4,AS6,Petrol,8.5,6.3,7.5,38,172,4,680.0,51.0
1588,HYUNDAI,ELANTRA,Four-Wheeler,1.8,4,M6,Petrol,8.8,6.4,7.7,37,177,4,680.0,52.36
1589,HYUNDAI,ELANTRA,Four-Wheeler,2.0,4,AS6,Petrol,9.7,6.7,8.3,34,191,4,700.0,58.10000000000001
1590,HYUNDAI,ELANTRA,Four-Wheeler,2.0,4,M6,Petrol,9.8,7.0,8.5,33,196,4,700.0,59.5
1591,HYUNDAI,ELANTRA COUPE,Four-Wheeler,2.0,4,AS6,Petrol,9.6,6.8,8.3,34,191,4,700.0,58.10000000000001
1592,HYUNDAI,ELANTRA COUPE,Four-Wheeler,2.0,4,M6,Petrol,9.7,6.7,8.3,34,191,4,700.0,58.10000000000001
1593,HYUNDAI,ELANTRA GT,Four-Wheeler,2.0,4,AS6,Petrol,9.7,7.2,8.6,33,198,4,700.0,60.2
1594,HYUNDAI,ELANTRA GT,Four-Wheeler,2.0,4,M6,Petrol,9.8,6.9,8.5,33,196,4,700.0,59.5
1595,HYUNDAI,EQUUS,Four-Wheeler,5.0,8,AS8,Diesel,15.8,10.2,13.3,21,306,5,1200.0,159.6
1596,HYUNDAI,GENESIS AWD,Four-Wheeler,3.8,6,AS8,Petrol,14.4,9.4,12.1,23,278,4,880.0,106.48
1597,HYUNDAI,GENESIS AWD,Four-Wheeler,5.0,8,AS8,Diesel,17.3,10.5,14.2,20,327,5,1200.0,170.4
1598,HYUNDAI,GENESIS COUPE,Four-Wheeler,3.8,6,AS8,Diesel,14.6,9.6,12.3,23,283,5,1080.0,132.84
1599,HYUNDAI,GENESIS COUPE,Four-Wheeler,3.8,6,M6,Diesel,14.4,9.9,12.4,23,285,5,1080.0,133.92
1600,HYUNDAI,SANTA FE,Four-Wheeler,3.3,6,AS6,Petrol,12.9,9.4,11.3,25,260,4,830.0,93.79
1601,HYUNDAI,SANTA FE AWD,Four-Wheeler,3.3,6,AS6,Petrol,13.0,9.7,11.5,25,264,4,830.0,95.45
1602,HYUNDAI,SANTA FE SPORT,Four-Wheeler,2.4,4,AS6,Petrol,11.7,8.7,10.3,27,237,4,740.0,76.22000000000001
1603,HYUNDAI,SANTA FE SPORT AWD,Four-Wheeler,2.0,4,AS6,Petrol,12.9,9.8,11.5,25,264,4,700.0,80.5
1604,HYUNDAI,SANTA FE SPORT AWD,Four-Wheeler,2.4,4,AS6,Petrol,12.5,9.3,11.1,25,255,4,740.0,82.14
1605,HYUNDAI,SANTA FE ULTIMATE AWD,Four-Wheeler,3.3,6,AS6,Petrol,13.9,10.8,12.5,23,287,5,830.0,103.75
1606,HYUNDAI,SONATA,Four-Wheeler,2.0,4,AS6,Petrol,10.4,7.4,9.1,31,209,4,700.0,63.7
1607,HYUNDAI,SONATA,Four-Wheeler,2.4,4,AS6,Petrol,9.8,6.7,8.4,34,193,4,740.0,62.16
1608,HYUNDAI,SONATA SPORT/LIMITED,Four-Wheeler,2.4,4,AS6,Petrol,9.8,6.7,8.4,34,193,4,740.0,62.16
1609,HYUNDAI,SONATA HYBRID,Four-Wheeler,2.4,4,AS6,Petrol,6.6,5.9,6.3,45,145,4,740.0,46.62
1610,HYUNDAI,SONATA HYBRID LIMITED,Four-Wheeler,2.4,4,AS6,Petrol,6.6,5.9,6.3,45,145,4,740.0,46.62
1611,HYUNDAI,TUCSON,Four-Wheeler,2.0,4,AS6,Petrol,10.2,8.2,9.3,30,214,4,700.0,65.10000000000001
1612,HYUNDAI,TUCSON,Four-Wheeler,2.0,4,M6,Petrol,11.4,8.5,10.1,28,232,4,700.0,70.7
1613,HYUNDAI,TUCSON,Four-Wheeler,2.4,4,AS6,Petrol,11.3,8.3,10.0,28,230,4,740.0,74.0
1614,HYUNDAI,TUCSON AWD,Four-Wheeler,2.0,4,AS6,Petrol,11.4,9.3,10.4,27,239,4,700.0,72.8
1615,HYUNDAI,TUCSON AWD,Four-Wheeler,2.4,4,AS6,Petrol,11.6,9.3,10.6,27,244,4,740.0,78.44
1616,HYUNDAI,VELOSTER,Four-Wheeler,1.6,4,AM6,Petrol,8.6,6.6,7.7,37,177,4,660.0,50.82
1617,HYUNDAI,VELOSTER,Four-Wheeler,1.6,4,M6,Petrol,9.0,6.7,8.0,35,184,4,660.0,52.8
1618,HYUNDAI,VELOSTER TURBO,Four-Wheeler,1.6,4,AS6,Petrol,9.9,7.6,8.8,32,202,4,660.0,58.08000000000001
1619,HYUNDAI,VELOSTER TURBO,Four-Wheeler,1.6,4,M6,Petrol,9.7,7.0,8.5,33,196,4,660.0,56.1
1620,INFINITI,Q50,Four-Wheeler,3.7,6,AS7,Diesel,12.0,8.1,10.3,27,237,4,1070.0,110.21
1621,INFINITI,Q50 AWD,Four-Wheeler,3.7,6,AS7,Diesel,12.5,8.7,10.8,26,248,4,1070.0,115.56
1622,INFINITI,Q50 HYBRID,Four-Wheeler,3.5,6,AS7,Diesel,8.2,6.7,7.5,38,172,4,1050.0,78.75
1623,INFINITI,Q50 HYBRID AWD,Four-Wheeler,3.5,6,AS7,Diesel,8.7,7.5,8.2,34,189,4,1050.0,86.1
1624,INFINITI,Q60,Four-Wheeler,3.7,6,AS7,Diesel,12.4,8.7,10.7,26,246,4,1070.0,114.49
1625,INFINITI,Q60,Four-Wheeler,3.7,6,M6,Diesel,13.6,9.3,11.6,24,267,4,1070.0,124.12
1626,INFINITI,Q60 AWD,Four-Wheeler,3.7,6,AS7,Diesel,13.3,9.4,11.5,25,264,4,1070.0,123.05
1627,INFINITI,Q60 CONVERTIBLE,Four-Wheeler,3.7,6,AS7,Diesel,13.6,9.3,11.7,24,269,4,1070.0,125.19
1628,INFINITI,Q60 CONVERTIBLE,Four-Wheeler,3.7,6,M6,Diesel,14.3,9.8,12.3,23,283,5,1070.0,131.61
1629,INFINITI,Q70,Four-Wheeler,3.7,6,AS7,Diesel,12.8,8.9,11.0,26,253,4,1070.0,117.7
1630,INFINITI,Q70,Four-Wheeler,5.6,8,AS7,Diesel,14.8,9.5,12.4,23,285,5,1260.0,156.24
1631,INFINITI,Q70 AWD,Four-Wheeler,3.7,6,AS7,Diesel,13.2,9.6,11.6,24,267,4,1070.0,124.12
1632,INFINITI,Q70 AWD,Four-Wheeler,5.6,8,AS7,Diesel,15.0,10.2,12.9,22,297,5,1260.0,162.54
1633,INFINITI,Q70 HYBRID,Four-Wheeler,3.5,6,AS7,Diesel,8.0,6.9,7.5,38,172,4,1050.0,78.75
1634,INFINITI,QX50 AWD,Four-Wheeler,3.7,6,AS7,Diesel,13.7,9.7,11.9,24,274,5,1070.0,127.33
1635,INFINITI,QX60,Four-Wheeler,3.5,6,AV7,Diesel,11.4,8.5,10.1,28,232,4,1050.0,106.05
1636,INFINITI,QX60 AWD,Four-Wheeler,3.5,6,AV7,Diesel,12.2,8.9,10.7,26,246,4,1050.0,112.35
1637,INFINITI,QX60 HYBRID AWD,Four-Wheeler,2.5,4,AV7,Petrol,8.9,8.4,8.7,32,200,4,750.0,65.24999999999999
1638,INFINITI,QX70 AWD,Four-Wheeler,3.7,6,AS7,Diesel,14.6,10.7,12.8,22,294,5,1070.0,136.96
1639,INFINITI,QX80 4WD,Four-Wheeler,5.6,8,AS7,Diesel,16.9,11.9,14.7,19,338,5,1260.0,185.22
1640,JAGUAR,F-TYPE CONVERTIBLE,Four-Wheeler,3.0,6,AS8,Diesel,11.8,8.4,10.3,27,237,4,1000.0,103.0
1641,JAGUAR,F-TYPE COUPE,Four-Wheeler,3.0,6,AS8,Diesel,11.8,8.4,10.3,27,237,4,1000.0,103.0
1642,JAGUAR,F-TYPE S CONVERTIBLE,Four-Wheeler,3.0,6,AS8,Diesel,12.2,8.7,10.6,27,244,4,1000.0,106.0
1643,JAGUAR,F-TYPE S COUPE,Four-Wheeler,3.0,6,AS8,Diesel,12.2,8.7,10.6,27,244,4,1000.0,106.0
1644,JAGUAR,F-TYPE V8 R COUPE,Four-Wheeler,5.0,8,AS8,Diesel,15.0,10.2,12.8,22,294,5,1200.0,153.6
1645,JAGUAR,F-TYPE V8 S CONVERTIBLE,Four-Wheeler,5.0,8,AS8,Diesel,15.0,10.2,12.8,22,294,5,1200.0,153.6
1646,JAGUAR,XF,Four-Wheeler,2.0,4,AS8,Diesel,12.3,8.2,10.5,27,242,4,900.0,94.5
1647,JAGUAR,XF AWD,Four-Wheeler,3.0,6,AS8,Diesel,13.9,8.8,11.6,24,267,4,1000.0,116.0
1648,JAGUAR,XFR,Four-Wheeler,5.0,8,AS8,Diesel,15.7,10.3,13.2,21,304,5,1200.0,158.4
1649,JAGUAR,XFR,Four-Wheeler,5.0,8,AS8,Electric,21.3,14.1,18.1,16,290,6,800.0,144.8
1650,JAGUAR,XFR-S,Four-Wheeler,5.0,8,AS8,Diesel,15.7,10.3,13.2,21,304,5,1200.0,158.4
1651,JAGUAR,XJ AWD,Four-Wheeler,3.0,6,AS8,Diesel,14.6,9.6,12.4,23,285,5,1000.0,124.0
1652,JAGUAR,XJ SUPERCHARGED,Four-Wheeler,5.0,8,AS8,Diesel,15.8,10.2,13.3,21,306,5,1200.0,159.6
1653,JAGUAR,XJ SUPERCHARGED,Four-Wheeler,5.0,8,AS8,Electric,20.6,13.6,17.5,16,280,5,900.0,157.5
1654,JAGUAR,XJL AWD PORTFOLIO,Four-Wheeler,3.0,6,AS8,Diesel,14.7,9.6,12.5,23,288,5,1000.0,125.0
1655,JAGUAR,XJL SUPERCHARGED,Four-Wheeler,5.0,8,AS8,Diesel,15.8,10.2,13.3,21,306,5,1200.0,159.6
1656,JAGUAR,XJL SUPERCHARGED,Four-Wheeler,5.0,8,AS8,Electric,20.6,13.6,17.5,16,280,5,900.0,157.5
1657,JAGUAR,XJR,Four-Wheeler,5.0,8,AS8,Diesel,15.8,10.2,13.3,21,306,5,1200.0,159.6
1658,JAGUAR,XJR LWB,Four-Wheeler,5.0,8,AS8,Diesel,15.8,10.2,13.3,21,306,5,1200.0,159.6
1659,JAGUAR,XKR CONVERTIBLE,Four-Wheeler,5.0,8,AS6,Diesel,15.9,10.9,13.6,21,313,5,1200.0,163.2
1660,JAGUAR,XKR COUPE,Four-Wheeler,5.0,8,AS6,Diesel,15.6,10.9,13.4,21,308,5,1200.0,160.8
1661,JAGUAR,XKR-S CONVERTIBLE,Four-Wheeler,5.0,8,AS6,Diesel,15.9,10.9,13.6,21,313,5,1200.0,163.2
1662,JAGUAR,XKR-S COUPE,Four-Wheeler,5.0,8,AS6,Diesel,15.6,10.9,13.4,21,308,5,1200.0,160.8
1663,JEEP,CHEROKEE,Four-Wheeler,2.4,4,A9,Petrol,10.9,7.7,9.5,30,218,4,740.0,70.3
1664,JEEP,CHEROKEE FFV,Four-Wheeler,2.4,4,A9,Petrol,10.9,7.7,9.5,30,218,4,740.0,70.3
1665,JEEP,CHEROKEE FFV,Four-Wheeler,2.4,4,A9,Electric,15.2,10.2,12.9,22,206,4,640.0,82.56
1666,JEEP,CHEROKEE,Four-Wheeler,3.2,6,A9,Petrol,11.4,8.1,9.9,29,228,4,820.0,81.18
1667,JEEP,CHEROKEE 4X4,Four-Wheeler,2.4,4,A9,Petrol,11.3,8.3,10.0,28,230,4,740.0,74.0
